Parameter,Units,TV,Description,Reference
ks_a100,mM-apoB100/day,0.006573359,Synthesis of apoB100,"Human Apolipoprotein (Apo) B-48 and ApoB-100 Kinetics With Stable Isotopes | Arteriosclerosis, Thrombosis, and Vascular Biology (ahajournals.org)"
ks_a1,mM-apoA1/day,0.03069798,Synthesis of apoA1,Back-solved based on preset half-life and basal concentration
kcl_a1,1/day,0.74174545,Clearance for apoA1,"Measurement of Reverse Cholesterol Transport Pathways in Humans: In Vivo Rates of Free Cholesterol Efflux, Esterification, and Excretion - PMC (nih.gov)"
krct,(mM-Ch/mM-apoA1)*1/day,147.0975375,RCT Ch to apoA1,"Measurement of Reverse Cholesterol Transport Pathways in Humans: In Vivo Rates of Free Cholesterol Efflux, Esterification, and Excretion - PMC (nih.gov)"
ksrb1,1/day,3.136190983,Clearance of cholesterol,
klpl,1/day,16.79387671,LPL/EL/HL clearance of TG,
kldlr_a100,1/(LDL-R*day),3.193769887,LDL-R mediated clearance of apoB100 particles,"LDL-R is normalized to ""1"" at basal"
kldlr_a48,1/(LDL-R*day),4.646435595,LDL-R mediated clearance of apoB48 particles,A single rate constant did not work for both apoB48 & apoB100 particles
ks_a48,mM/day,0.000110632,Synthesis of apoB48,"Human Apolipoprotein (Apo) B-48 and ApoB-100 Kinetics With Stable Isotopes | Arteriosclerosis, Thrombosis, and Vascular Biology (ahajournals.org)"
kctp,1/(mM-apo^2*day),2.57788564,CETP activity,
ks_fa,mM/day,615.6718904,Uptake of FA into liver,
kdnl,mM/day,36.12739807,DNL synthesis of FA,
kd_fa,1/day,1808.829914,Beta-oxidation of FA,
kest_lcy,1/(mM^2*day),17483.566,Esterification of FA,
kest_ler,1/(mM^2*day),250105.8456,Esterification of FA,
klip,mM/day,1.012298472,Lipolysis of TG to 3FA,
ker,1/day,3396.750736,FA crossing into ER,
ks_ch,mM/day,2.357288159,Synthesis of cholesterol,"Based on 1.5g/day of liver cholesterol synthesis. https://www.precisionnutrition.com/all-about-cholesterol#:~:text=Our%20liver%20produces%20anywhere%20from,we%20eat%20foods%20without%20cholesterol."
