Parameter,Units,TV,Description,Reference
ks_a100,mM-apoB100/day,0.007733977,Synthesis of apoB100,"Human Apolipoprotein (Apo) B-48 and ApoB-100 Kinetics With Stable Isotopes | Arteriosclerosis, Thrombosis, and Vascular Biology (ahajournals.org)"
ks_a1,mM-apoA1/day,0.016786173,Synthesis of apoA1,Back-solved based on preset half-life and basal concentration
kcl_a1,1/day,0.405598924,Clearance for apoA1,"Measurement of Reverse Cholesterol Transport Pathways in Humans: In Vivo Rates of Free Cholesterol Efflux, Esterification, and Excretion - PMC (nih.gov)"
krct,(mM-Ch/mM-apoA1)*1/day,238.858897,RCT Ch to apoA1,"Measurement of Reverse Cholesterol Transport Pathways in Humans: In Vivo Rates of Free Cholesterol Efflux, Esterification, and Excretion - PMC (nih.gov)"
ksrb1,1/day,3.478422164,Clearance of cholesterol,
klpl,1/day,17.31863241,LPL/EL/HL clearance of TG,
kldlr_a100,1/(LDL-R*day),3.757674427,LDL-R mediated clearance of apoB100 particles,"LDL-R is normalized to ""1"" at basal"
kldlr_a48,1/(LDL-R*day),3.935524052,LDL-R mediated clearance of apoB48 particles,A single rate constant did not work for both apoB48 & apoB100 particles
ks_a48,mM/day,9.37675E-05,Synthesis of apoB48,"Human Apolipoprotein (Apo) B-48 and ApoB-100 Kinetics With Stable Isotopes | Arteriosclerosis, Thrombosis, and Vascular Biology (ahajournals.org)"
kctp,1/(mM-apo^2*day),5.999961053,CETP activity,
ks_fa,mM/day,611.5031552,Uptake of FA into liver,
kdnl,mM/day,26.70835829,DNL synthesis of FA,
kd_fa,1/day,2055.134754,Beta-oxidation of FA,
kest_lcy,1/(mM^2*day),13205.33654,Esterification of FA,
kest_ler,1/(mM^2*day),256370.2971,Esterification of FA,
klip,mM/day,0.764588986,Lipolysis of TG to 3FA,
ker,1/day,2809.778246,FA crossing into ER,
ks_ch,mM/day,2.290132354,Synthesis of cholesterol,"Based on 1.5g/day of liver cholesterol synthesis. https://www.precisionnutrition.com/all-about-cholesterol#:~:text=Our%20liver%20produces%20anywhere%20from,we%20eat%20foods%20without%20cholesterol."
kd_ch,1/day,3.798835085,Clearance of liver Ch,Flux balance.
ks_ldlr,mM-Ch/day,14.28718822,Synthesis of LDL-R,Back-solved using half-life and assumed liver cholesterol content
kd_ldlr,1/(mM-PCSK9*day),89010.92274,PCSK9-mediated clearance of LDL-R,"Low density lipoprotein receptor degradation is influenced by a mediator protein(s) with a rapid turnover rate, but is unaffected by receptor up- or down-regulation - PubMed (nih.gov)"
ks_pk9,mM/day,0.001350251,Synthesis of PCSK9,Genetic and Metabolic Determinants of Plasma PCSK9 Levels - PMC (nih.gov)
kcl_pk9,1/day,199.626388,Clearance of plasma PCSK9,New developments in atherosclerosis: clinical potential of PCSK9 inhib | VHRM (dovepress.com)
vd_ler,L,0.104216678,Volume of ER,
vd_lcy,L,0.641854602,Volume of liver hepatocyte cytosol,
